,Ø Êmbolo (mm),Ø Haste (mm),Curso (mm),Modelo,Norma,Fabricante,Comprimento Total (mm),Rosca Haste,Conexão Pneumática,▯ Distância Quadrada Fixações (mm),Parafuso de Fixação,Pressão Máxima (Bar)
122,125,32,250,DSBC-125-250-PPSA-N3,15552,Festo,529.0,M27x2,G1/2,110.0,M12,12
123,125,32,300,DSBC-125-300-PPSA-N3,15552,Festo,579.0,M27x2,G1/2,110.0,M12,12
124,125,32,400,DSBC-125-400-PPSA-N3,15552,Festo,679.0,M27x2,G1/2,110.0,M12,12
125,125,32,500,DSBC-125-500-PPSA-N3,15552,Festo,779.0,M27x2,G1/2,110.0,M12,12
126,12,6,10,ADN-12-10-A-P-A,21287,Festo,59.2,M5,M5,16.0,M4,10
127,12,6,15,ADN-12-15-A-P-A,21287,Festo,64.2,M5,M5,16.0,M4,10
128,12,6,20,ADN-12-20-A-P-A,21287,Festo,69.2,M5,M5,16.0,M4,10
129,12,6,25,ADN-12-25-A-P-A,21287,Festo,74.2,M5,M5,16.0,M4,10
130,12,6,30,ADN-12-30-A-P-A,21287,Festo,79.2,M5,M5,16.0,M4,10
131,12,6,40,ADN-12-40-A-P-A,21287,Festo,89.2,M5,M5,16.0,M4,10
132,12,6,60,ADN-12-60-A-P-A,21287,Festo,109.2,M5,M5,16.0,M4,10
133,12,6,50,ADN-12-50-A-P-A,21287,Festo,99.2,M5,M5,16.0,M4,10
134,12,6,80,ADN-12-80-A-P-A,21287,Festo,129.2,M5,M5,16.0,M4,10
135,16,8,30,ADN-16-30-A-P-A,21287,Festo,81.7,M6,M5,18.0,M4,10
136,16,8,25,ADN-16-25-A-P-A,21287,Festo,76.7,M6,M5,18.0,M4,10
137,16,8,40,ADN-16-40-A-P-A,21287,Festo,91.7,M6,M5,18.0,M4,10
138,16,8,60,ADN-16-60-A-P-A,21287,Festo,111.7,M6,M5,18.0,M4,10
139,16,8,10,ADN-16-10-A-P-A,21287,Festo,61.7,M6,M5,18.0,M4,10
140,16,8,20,ADN-16-20-A-P-A,21287,Festo,71.7,M6,M5,18.0,M4,10
141,16,8,15,ADN-16-15-A-P-A,21287,Festo,66.7,M6,M5,18.0,M4,10
